ticker,gics_sector
A,Health Care
AA,Basic Materials
AAL,Industrials
AAP,Consumer Cyclical
AAPL,Information Technology
ABBV,Health Care
ABK,Unknown
ABMD,Unknown
ABNB,Consumer Discretionary
ABS,Unknown
ABT,Health Care
ACAS,Unknown
ACE,Unknown
ACGL,Financials
ACN,Information Technology
ADBE,Information Technology
ADCT,Healthcare
ADI,Information Technology
ADM,Consumer Staples
ADP,Industrials
ADS,Unknown
ADSK,Information Technology
ADT,Industrials
AEE,Utilities
AEP,Utilities
AES,Utilities
AET,Unknown
AFL,Financials
AGN,Unknown
AIG,Financials
AIV,Real Estate
AIZ,Financials
AJG,Financials
AKAM,Information Technology
AKS,Unknown
ALB,Materials
ALGN,Health Care
ALK,Industrials
ALL,Financials
ALLE,Industrials
ALTR,Unknown
ALXN,Unknown
AMAT,Information Technology
AMCR,Materials
AMD,Information Technology
AME,Industrials
AMG,Financial Services
AMGN,Health Care
AMP,Financials
AMT,Real Estate
AMTM,Industrials
AMZN,Consumer Discretionary
AN,Consumer Cyclical
ANDV,Unknown
ANET,Information Technology
ANF,Consumer Cyclical
ANR,Unknown
ANSS,Unknown
AON,Financials
AOS,Industrials
APA,Energy
APC,Energy
APD,Materials
APH,Information Technology
APO,Financials
APOL,Unknown
APP,Information Technology
APTV,Consumer Discretionary
ARE,Real Estate
ARES,Financials
ARG,Unknown
ARNC,Unknown
ATI,Industrials
ATO,Utilities
ATVI,Unknown
AV,Unknown
AVB,Real Estate
AVGO,Information Technology
AVP,Unknown
AVY,Materials
AWK,Utilities
AXON,Industrials
AXP,Financials
AYE,Unknown
AYI,Industrials
AZO,Consumer Discretionary
BA,Industrials
BAC,Financials
BALL,Materials
BAX,Health Care
BBBY,Unknown
BBWI,Consumer Cyclical
BBY,Consumer Discretionary
BC,Consumer Cyclical
BCR,Unknown
BDX,Health Care
BEAM,Healthcare
BEN,Financials
BF-B,Consumer Staples
BG,Consumer Staples
BHF,Financial Services
BHI,Unknown
BIG,Unknown
BIIB,Health Care
BIO,Healthcare
BJS,Unknown
BK,Financials
BKNG,Consumer Discretionary
BKR,Energy
BLDR,Industrials
BLK,Financials
BMC,Unknown
BMS,Unknown
BMY,Health Care
BR,Industrials
BRCM,Unknown
BRK-B,Financials
BRO,Financials
BSX,Health Care
BTU,Energy
BWA,Consumer Cyclical
BX,Financials
BXLT,Unknown
BXP,Real Estate
C,Financials
CA,Unknown
CAG,Consumer Staples
CAH,Health Care
CAM,Unknown
CARR,Industrials
CAT,Industrials
CB,Financials
CBE,Unknown
CBOE,Financials
CBRE,Real Estate
CCE,Unknown
CCI,Real Estate
CCL,Consumer Discretionary
CDNS,Information Technology
CDW,Information Technology
CE,Basic Materials
CEG,Utilities
CELG,Unknown
CEPH,Unknown
CERN,Unknown
CF,Materials
CFC,Unknown
CFG,Financials
CFN,Unknown
CHD,Consumer Staples
CHK,Unknown
CHRW,Industrials
CHTR,Communication Services
CI,Health Care
